Rp	Powell - x	Powell - f(x)	Powell - g(x)	DE - x	DE - f(x)	DE - g(x)	PSO - x	PSO - f(x)	PSO - g(x)
100000	[ 0.55327702  0.07095995 -0.64445376]	-29502.421989	0.3196	[-6.48035531e-13  1.18662181e-01 -4.99048000e-03]	1240.02479562	0.362	[ 0.          0.11866258 -0.00499048]	1240.02479734	0.362
1000000	[ 0.39977555  0.0271785  -0.51592805]	-23723.9220183	0.0398	[-0.41130483  0.34284927 -0.00499048]	9399.85000118	0.0321	[-0.41130508  0.34284941 -0.00499048]	9399.85000379	0.0321
10000000	[ 0.3757454   0.02229681 -0.49196887]	-22928.3090233	0.0041	[-0.43132566  0.34593889 -0.00499048]	9878.37479558	0.0031	[-0.4313257   0.34593893 -0.00499048]	9878.3747961	0.0031
100000000	[ 0.37198841  0.02318257 -0.49028164]	-22843.3284124	0.0004	[-0.43325332  0.34619049 -0.00499048]	9925.52159636	0.0003	[-0.43325333  0.3461905  -0.00499048]	9925.52159715	0.0003
1000000000	[ 0.36858273  0.02707374 -0.49263702]	-22832.7967119	0.0001	[-0.4334454   0.34621513 -0.00499048]	9930.22959866	0.0	[-0.4334454   0.34621511 -0.00499048]	9930.22960282	0.0
10000000000	[-0.43345571  0.34622668 -0.00501443]	9929.79028962	0.0	[-0.4334646   0.34621758 -0.00499048]	9930.70033246	0.0	[-0.4334646   0.34621759 -0.00499048]	9930.70033397	0.0
100000000000	[-0.43346566  0.34621875 -0.00499285]	9930.65710977	0.0	[-0.43346652  0.34621783 -0.00499048]	9930.74740518	0.0	[-0.43346653  0.34621783 -0.00499048]	9930.74741237	0.0
1000000000000	[-0.43346665  0.34621795 -0.00499069]	9930.7444071	0.0	[-0.43346671  0.34621785 -0.00499048]	9930.75211278	0.0	[-0.43346671  0.34621785 -0.00499048]	9930.75212868	0.0
10000000000000	[-0.43346672  0.34621787 -0.00499051]	9930.75135866	0.0	[-0.43346673  0.34621786 -0.00499048]	9930.75258324	0.0	[-0.43346673  0.34621785 -0.00499048]	9930.75259885	0.0
100000000000000	[-0.43346673  0.34621786 -0.00499049]	9930.75237759	0.0	[-0.43346673  0.34621786 -0.00499048]	9930.75263024	0.0	[-0.43346674  0.34621786 -0.00499048]	9930.75351379	0.0
1000000000000000	[-0.43346673  0.34621786 -0.00499048]	9930.75247955	0.0	[-0.43346673  0.34621786 -0.00499048]	9930.75263498	0.0	[-0.43346674  0.34621786 -0.00499048]	9930.75962469	0.0
10000000000000000	[-0.43346673  0.34621786 -0.00499048]	9930.75248946	0.0	[-0.43346673  0.34621786 -0.00499048]	9930.75263542	0.0	[-0.43346674  0.34621786 -0.00499048]	9930.98196715	0.0
100000000000000000	[-0.43346673  0.34621786 -0.00499048]	9930.75249037	0.0	[-0.43346673  0.34621786 -0.00499048]	9930.75263546	0.0	[-0.43346674  0.34621786 -0.00499048]	9930.95643021	0.0
1000000000000000000	[-0.43346673  0.34621786 -0.00499048]	9930.75249046	0.0	[-0.43346673  0.34621786 -0.00499048]	9930.75263555	0.0	[-0.43346672  0.34621785 -0.00499048]	10035.0003305	0.0
10000000000000000000	[-0.43346673  0.34621786 -0.00499048]	9930.75249047	0.0	[-0.43346673  0.34621786 -0.00499048]	9930.75263549	0.0	[-0.43346674  0.34621787 -0.00499048]	11399.7244991	0.0
100000000000000000000	[-0.43346673  0.34621786 -0.00499048]	9930.75249047	0.0	[-0.43346673  0.34621786 -0.00499048]	9930.7526357	0.0	[-0.43346674  0.34621786 -0.00499048]	14915.491567	0.0
